dt,password,captcha,country,chess_img,chess_move,chess_solution,duration_list,youtube_url,absence_eng_letter,scr_letter,yt_ok
2023-07-25 14:58:50.478656,🐔🐛1111111111111111111$0XXXVpepsimayHe iamlovedwheel🌓🏋️‍♂️🏋️‍♂️🏋️‍♂️pcedefinlandBg6+FmFeHHHyoutu.be/bdiGlNbz__Qc,pcede,finland,https://neal.fun/password-game/chess/puzzle146.svg,White to move,Bg6+,"['7', '53']",youtu.be/bdiGlNbz__Qc,rkj,"(18, 11)",False
2023-07-25 14:59:55.470570,🐔🐛11111111111111111$0XXXVpepsimayHe iamlovedwheel🌓🏋️‍♂️🏋️‍♂️🏋️‍♂️cgcgbfinlandQe7+FmFeHyoutu.be/dvY1jiftQFA,cgcgb,finland,https://neal.fun/password-game/chess/puzzle34.svg,White to move,Qe7+,"['19', '26']",youtu.be/dvY1jiftQFA,zrk,"(26, 18)",False
2023-07-25 15:01:40.630772,🐔🐛1111111111111$0XXXVpepsimayHe iamlovedwheel🌓🏋️‍♂️🏋️‍♂️🏋️‍♂️b5nmmitalyQxg6+FmSnPHyoutu.be/p1mluujFcvc,b5nmm,italy,https://neal.fun/password-game/chess/puzzle144.svg,White to move,Qxg6+,"['17', '2']",youtu.be/p1mluujFcvc,zrk,"(26, 18)",False
2023-07-25 15:04:59.546700,🐔🐛1111111111111111111111$0XXXVpepsimayHe iamlovedwheel🌓🏋️‍♂️🏋️‍♂️🏋️‍♂️bnc2fcroatiaRg1+FeHHHHHHHHHyoutu.be/PBqjFihluag,bnc2f,croatia,https://neal.fun/password-game/chess/puzzle74.svg,Black to move,Rg1+,"['34', '41']",youtu.be/PBqjFihluag,zk,"(26, 11)",False
2023-07-25 15:08:59.506840,🐔🐛111111111111111$0XXXVpepsimayHe iamlovedwheel🌓🏋️‍♂️🏋️‍♂️🏋️‍♂️cffp4spainRh6SnFeFHHHHHHyoutu.be/fmwZyqtmopY,cffp4,spain,https://neal.fun/password-game/chess/puzzle163.svg,White to move,Rh6,"['10', '18']",youtu.be/fmwZyqtmopY,kjg,"(11, 10)",False
2023-07-25 15:11:21.889084,🐔🐛1111111111111$0XXXVpepsimayHe iamlovedwheel🌓🏋️‍♂️🏋️‍♂️🏋️‍♂️nc4ygaustraliaQd8+FmFeFHyoutu.be/OSod_P_thiA,nc4yg,australia,https://neal.fun/password-game/chess/puzzle183.svg,White to move,Qd8+,"['21', '40']",youtu.be/OSod_P_thiA,zkj,"(26, 11)",False
2023-07-25 15:13:33.590061,🐔🐛1111111111111$0XXXVpepsimayHe iamlovedwheel🌓🏋️‍♂️🏋️‍♂️🏋️‍♂️wc2bdisraelRh6+FmPHHHHHHHHyoutu.be/nilQjgsEGN4,wc2bd,israel,https://neal.fun/password-game/chess/puzzle178.svg,White to move,Rh6+,"['31', '39']",youtu.be/nilQjgsEGN4,zk,"(26, 11)",False
2023-07-25 15:15:53.255097,🐔🐛111111111111111$0XXXVpepsimayHe iamlovedwheel🌓🏋️‍♂️🏋️‍♂️🏋️‍♂️nc4ygicelandRxg6+FmPHHHHHHHHHyoutu.be/ylcscJNBm__Y,nc4yg,iceland,https://neal.fun/password-game/chess/puzzle105.svg,White to move,Rxg6+,"['5', '42']",youtu.be/ylcscJNBm__Y,zqk,"(26, 17)",False
2023-07-25 15:16:30.399339,🐔🐛1111111111111111$0XXXVpepsimayHe iamlovedwheel🌓🏋️‍♂️🏋️‍♂️🏋️‍♂️mgw3nsloveniaRxh2+FmSnFHHHHHHyoutu.be/f1hqHvR3FdE,mgw3n,slovenia,https://neal.fun/password-game/chess/puzzle51.svg,Black to move,Rxh2+,"['32', '26']",youtu.be/f1hqHvR3FdE,zkjc,"(26, 11)",False
2023-07-25 15:21:25.884405,🐔🐛1111111111111$0XXXVpepsimayHe iamlovedwheel🌓🏋️‍♂️🏋️‍♂️🏋️‍♂️cgcgbbotswanaQxb8+FmFeHHHyoutu.be/uZ4tdfqYxNs,cgcgb,botswana,https://neal.fun/password-game/chess/puzzle27.svg,White to move,Qxb8+,"['13', '49']",youtu.be/uZ4tdfqYxNs,rkj,"(18, 11)",False
2023-07-25 15:22:42.384262,🐔🐛111111111111111111$0XXXVpepsimayHe iamlovedwheel🌓🏋️‍♂️🏋️‍♂️🏋️‍♂️bnc2ficelandRe5+FePHyoutu.be/mauh_YQKhgE,bnc2f,iceland,https://neal.fun/password-game/chess/puzzle132.svg,White to move,Re5+,"['33', '8']",youtu.be/mauh_YQKhgE,zj,"(26, 10)",False
2023-07-25 15:24:24.217737,🐔🐛11111111111111111$0XXXVpepsimayHe iamlovedwheel🌓🏋️‍♂️🏋️‍♂️🏋️‍♂️xbcbxkuwaitNe5+FmFePHHHHHHHHyoutu.be/mAd3etGsySQ,xbcbx,kuwait,https://neal.fun/password-game/chess/puzzle58.svg,White to move,Ne5+,"['27', '24']",youtu.be/mAd3etGsySQ,zrj,"(26, 18)",False
2023-07-25 15:31:53.102190,🐔🐛11111111111111$0XXXVpepsimayHe iamlovedwheel🌓🏋️‍♂️🏋️‍♂️🏋️‍♂️bnc2fcanadaNb5+SnFeHHHHHHHHHyoutu.be/lYHepOyyzm4,bnc2f,canada,https://neal.fun/password-game/chess/puzzle42.svg,Black to move,Nb5+,"['17', '8']",youtu.be/lYHepOyyzm4,rqkjg,"(18, 17)",False
2023-07-25 15:33:12.258893,🐔🐛1111111111111111111$0XXXVpepsimayHe iamlovedwheel🌓🏋️‍♂️🏋️‍♂️🏋️‍♂️ndyfecroatiaQxe6+FmFHHHHHHyoutu.be/-bcANEglbI,ndyfe,croatia,https://neal.fun/password-game/chess/puzzle99.svg,White to move,Qxe6+,"['4', '19']",youtu.be/-bcANEglbI,zkj,"(26, 11)",False
2023-07-25 15:34:39.567653,🐔🐛1111111111111111111$0XXXVpepsimayHe iamlovedwheel🌓🏋️‍♂️🏋️‍♂️🏋️‍♂️wc2bdphilippinesRe4+SnPHHHHHyoutu.be/NP-bZmvOzhA,wc2bd,philippines,https://neal.fun/password-game/chess/puzzle188.svg,Black to move,Re4+,"['34', '39']",youtu.be/NP-bZmvOzhA,qkjgf,"(17, 11)",False
2023-07-25 15:39:45.269771,🐔🐛11111111111111111111$0XXXVpepsimayHe iamlovedwheel🌓🏋️‍♂️🏋️‍♂️🏋️‍♂️dbfenbotswanaRf1+SnPHHHHHyoutu.be/szE4qGfdHzE,dbfen,botswana,https://neal.fun/password-game/chess/puzzle191.svg,Black to move,Rf1+,"['8', '43']",youtu.be/szE4qGfdHzE,kjc,"(11, 10)",False
2023-07-25 15:40:23.116979,🐔🐛11111111111111111$0XXXVpepsimayHe iamlovedwheel🌓🏋️‍♂️🏋️‍♂️🏋️‍♂️dbfenaustraliaQxb8+FmPHHHHHyoutu.be/emFaiNYr-dE,dbfen,australia,https://neal.fun/password-game/chess/puzzle27.svg,White to move,Qxb8+,"['15', '25']",youtu.be/emFaiNYr-dE,zkjgc,"(26, 11)",False
2023-07-25 15:42:47.431969,🐔🐛1111111111111111111$0XXXVpepsimayHe iamlovedwheel🌓🏋️‍♂️🏋️‍♂️🏋️‍♂️cnwycbelgiumNe5+FmFePHHHHHHHHHyoutu.be/v__xPZuAfg1k,cnwyc,belgium,https://neal.fun/password-game/chess/puzzle58.svg,White to move,Ne5+,"['4', '22']",youtu.be/v__xPZuAfg1k,rqj,"(18, 17)",False
2023-07-25 15:43:34.453775,🐔🐛11111111111111111111111$0XXXVpepsimayHe iamlovedwheel🌓🏋️‍♂️🏋️‍♂️🏋️‍♂️cnwycindonesiaQxh2+FmSnPHyoutu.be/jqvFxJEJbtg,cnwyc,indonesia,https://neal.fun/password-game/chess/puzzle103.svg,Black to move,Qxh2+,"['31', '30']",youtu.be/jqvFxJEJbtg,zrk,"(26, 18)",False
2023-07-25 10:02:57.846927,🐔🐛111111111111111111$0XXXVpepsimayHe iamlovedwheel🌓🏋️‍♂️🏋️‍♂️🏋️‍♂️xgcxyiranNf7+FmFeHHHyoutu.be/mai_uYRTgxQ,xgcxy,iran,https://neal.fun/password-game/chess/puzzle189.svg,White to move,Nf7+,"['29', '59']",youtu.be/mai_uYRTgxQ,zkj,"(26, 11)",False
2023-07-25 10:08:52.616490,🐔🐛1111111111111111$0XXXVpepsimayHe iamlovedwheel🌓🏋️‍♂️🏋️‍♂️🏋️‍♂️xbcbxgermanyQxg6+FmSnFHyoutu.be/hcB-w_3FHxQ,xbcbx,germany,https://neal.fun/password-game/chess/puzzle144.svg,White to move,Qxg6+,"['33', '59']",youtu.be/hcB-w_3FHxQ,zkj,"(26, 11)",False
2023-07-25 10:16:06.868958,🐔🐛1111111111111$0XXXVpepsimayHe iamlovedwheel🌓🏋️‍♂️🏋️‍♂️🏋️‍♂️pcedekuwaitQxf8+FmPHHyoutu.be/f4IZBffdGQk,pcede,kuwait,https://neal.fun/password-game/chess/puzzle94.svg,White to move,Qxf8+,"['19', '25']",youtu.be/f4IZBffdGQk,rnj,"(18, 14)",False
2023-07-25 10:01:15.896110,🐔🐛111111111111$0XXXVpepsimayHe iamlovedwheel🌓🏋️‍♂️🏋️‍♂️🏋️‍♂️dbfenbotswanaRg7PFHyoutu.be/rxTt2yY31cs,dbfen,botswana,https://neal.fun/password-game/chess/puzzle70.svg,White to move,Rg7,"['35', '7']",youtu.be/rxTt2yY31cs,zqkj,"(26, 17)",False
